ind,pop,score
NA12717.DG,CEU.DG,-0.3200930000000005
NA12058.DG,CEU.DG,0.6208859999999998
NA12718.DG,CEU.DG,0.279986
NA12272.DG,CEU.DG,0.0439679999999996
NA12489.DG,CEU.DG,-0.2135690000000003
NA12273.DG,CEU.DG,-0.6001020000000004
NA12751.DG,CEU.DG,0.9619860000000008
NA12750.DG,CEU.DG,-0.2780329999999997
NA18599.DG,CHB.DG,-2.0735660000000005
NA18757.DG,CHB.DG,-1.867314
NA18608.DG,CHB.DG,0.0086499999999993
NA18546.DG,CHB.DG,-0.7777620000000012
NA18545.DG,CHB.DG,0.1171449999999992
NA18613.DG,CHB.DG,-0.2727910000000004
NA18602.DG,CHB.DG,-0.5454030000000009
NA18562.DG,CHB.DG,-1.238383
NA18558.DG,CHB.DG,-0.8649550000000006
NA18563.DG,CHB.DG,-0.1074400000000005
NA18635.DG,CHB.DG,-1.1646350000000003
NA18636.DG,CHB.DG,-0.4734750000000001
NA18541.DG,CHB.DG,-2.276343000000001
NA18542.DG,CHB.DG,-0.4625900000000001
NA18606.DG,CHB.DG,-1.694890000000001
NA18592.DG,CHB.DG,-0.9220800000000002
NA18591.DG,CHB.DG,-1.1715490000000002
NA18566.DG,CHB.DG,0.250158
NA18574.DG,CHB.DG,-1.2178940000000007
NA18577.DG,CHB.DG,-0.8192370000000002
NA18749.DG,CHB.DG,-1.3601970000000003
NA18559.DG,CHB.DG,-1.3613770000000005
NA18567.DG,CHB.DG,0.0866919999999995
NA18740.DG,CHB.DG,-0.2712700000000009
NA18579.DG,CHB.DG,-0.947283
NA18648.DG,CHB.DG,-1.0799570000000005
NA18621.DG,CHB.DG,0.0181769999999997
NA18622.DG,CHB.DG,-0.8560750000000004
NA18644.DG,CHB.DG,-0.2976919999999996
NA18643.DG,CHB.DG,-0.9170879999999996
NA18637.DG,CHB.DG,-0.9404680000000004
NA18638.DG,CHB.DG,-0.6870300000000004
NA18633.DG,CHB.DG,-1.498447
NA18634.DG,CHB.DG,-1.0899960000000004
NA18610.DG,CHB.DG,-2.021560000000001
NA18609.DG,CHB.DG,-1.3034209999999995
NA18626.DG,CHB.DG,-1.2514029999999998
NA18625.DG,CHB.DG,-0.7688940000000004
NA18593.DG,CHB.DG,-0.782546
NA18595.DG,CHB.DG,0.0039069999999996
NA18647.DG,CHB.DG,-0.4518929999999999
NA18614.DG,CHB.DG,-0.4238729999999998
NA18538.DG,CHB.DG,-1.43378
NA18640.DG,CHB.DG,-1.7233230000000004
NA18745.DG,CHB.DG,0.370803
NA18616.DG,CHB.DG,-1.7115830000000003
